,"UNAUTHORIZEDIMMIGRANTPOPULATION,2012","UNAUTHORIZEDIMMIGRANTSHARE OF POPULATION,2012","UNAUTHORIZEDSHARE OFIMMIGRANTPOPULATION,2012","UNAUTHORIZEDIMMIGRANT SHARE OF LABOR FORCE, 2012","SHARE OF K-12 STUDENTS WITH UNAUTHORIZED IMMIGRANT PARENT(S), 2012","SHAREMEXICAN OF UNAUTHORIZED IMMIGRANTS, 2012","CHANGE IN UNAUTHORIZEDIMMIGRANTPOPULATION,2009-2012"
,,,,,,,
Total,"11,200,000",3.5%,26%,5.1%,6.9%,52%,n.s.
,,,,,,,
Alabama,"65,000",1.4%,38%,2.0%,2.8%,66%,"-10,000"
Alaska,"15,000",1.8%,25%,2.4%,1.2%,12%,n.s.
Arizona,"300,000",4.6%,33%,6.0%,11.0%,84%,"-40,000"
Arkansas,"60,000",2.1%,45%,3.2%,5.4%,68%,n.s.
California,"2,450,000",6.3%,23%,9.4%,13.2%,68%,"-90,000"
Colorado,"180,000",3.5%,34%,4.7%,8.1%,78%,"-30,000"
Connecticut,"130,000",3.5%,25%,5.1%,4.2%,15%,n.s.
Delaware,"20,000",2.4%,26%,3.8%,5.4%,47%,n.s.
District of Columbia,"20,000",3.1%,20%,4.1%,4.9%,12%,n.s.
Florida,"925,000",4.8%,24%,6.9%,7.5%,13%,"55,000"
Georgia,"400,000",3.9%,39%,5.6%,7.5%,54%,"-35,000"
Hawaii,"35,000",2.4%,13%,3.7%,2.5%,7%,n.s.
Idaho,"50,000",3.0%,43%,4.6%,5.5%,83%,"10,000"
Illinois,"475,000",3.7%,26%,5.2%,8.2%,72%,"-30,000"
Indiana,"85,000",1.3%,27%,1.9%,2.8%,68%,"-15,000"
Iowa,"40,000",1.4%,30%,2.0%,2.7%,65%,n.s.
Kansas,"75,000",2.6%,38%,3.5%,7.0%,75%,"-20,000"
Kentucky,"35,000",0.8%,26%,1.2%,1.8%,48%,"-15,000"
Louisiana,"55,000",1.2%,31%,1.8%,1.7%,29%,n.s.
Maine,"<5,000",0.2%,6%,0.3%,0.2%,B,n.s.
Maryland,"250,000",4.3%,29%,6.2%,5.7%,12%,"25,000"
Massachusetts,"150,000",2.3%,15%,3.4%,2.2%,3%,"-25,000"
Michigan,"120,000",1.2%,18%,1.6%,1.9%,36%,n.s.
Minnesota,"95,000",1.8%,22%,2.5%,3.0%,53%,n.s.
Mississippi,"25,000",0.9%,44%,1.2%,1.0%,57%,n.s.
Missouri,"65,000",1.1%,27%,1.4%,2.0%,35%,n.s.
Montana,"<5,000",0.3%,14%,0.4%,0.4%,B,n.s.
Nebraska,"55,000",2.8%,41%,3.7%,7.1%,67%,"10,000"
Nevada,"210,000",7.6%,39%,10.2%,17.7%,69%,"-20,000"
New Hampshire,"10,000",0.9%,15%,1.2%,0.7%,7%,n.s.
New Jersey,"525,000",5.8%,26%,8.2%,7.7%,19%,"75,000"
New Mexico,"70,000",3.4%,35%,4.7%,7.1%,89%,"-20,000"
New York,"750,000",3.8%,16%,5.7%,5.5%,20%,"-60,000"
North Carolina,"350,000",3.6%,44%,5.2%,7.6%,62%,n.s.
North Dakota,"<5,000",0.3%,10%,0.5%,0.1%,B,n.s.
Ohio,"95,000",0.8%,20%,1.1%,1.3%,34%,n.s.
Oklahoma,"100,000",2.6%,43%,3.7%,5.5%,76%,n.s.
Oregon,"120,000",3.1%,31%,4.6%,7.5%,75%,"-20,000"
Pennsylvania,"170,000",1.3%,21%,1.7%,2.0%,23%,"30,000"
Rhode Island,"35,000",3.3%,23%,4.6%,5.4%,6%,n.s.
South Carolina,"95,000",2.0%,41%,3.0%,3.8%,61%,n.s.
South Dakota,"<5,000",0.4%,14%,0.6%,0.7%,B,n.s.
Tennessee,"130,000",2.0%,40%,2.8%,3.4%,59%,n.s.
Texas,"1,650,000",6.3%,37%,8.9%,13.1%,75%,n.s.
Utah,"100,000",3.6%,41%,5.1%,7.1%,69%,n.s.
Vermont,"<5,000",0.4%,9%,0.5%,0.2%,B,n.s.
Virginia,"275,000",3.5%,28%,5.1%,5.5%,15%,"25,000"
Washington,"230,000",3.3%,24%,4.9%,7.1%,62%,n.s.
West Virginia,"<5,000",0.2%,13%,0.2%,0.1%,B,n.s.
Wisconsin,"85,000",1.5%,30%,1.8%,3.3%,76%,n.s.
Wyoming,"5,000",1.0%,31%,1.3%,2.1%,82%,n.s.
,,,,,,,
Note: All numbers are rounded independently and are not adjusted to sum to the total U.S. figure or other totals. Percents and changes calculated from unrounded figures. Significant changes are based on 90% confidence interval.,,,,,,,
See Methodology for rounding rules. http://www.pewhispanic.org/2014/11/18/appendix-c-methodology-4,,,,,,,
"""B"" -- Base of percent is too small to produce a reliable estimate.",,,,,,,
"""n.s."" -- Change is not statistically significant.",,,,,,,
,,,,,,,
Source: Pew Research Center estimates for 2009 and 2012 based on augmented American Community Survey data from Integrated Public Use Microdata Series (IPUMS),,,,,,,
